nodo1,nodo2,tiempo,variacion_energia,variacion_temperatura
6,18,8.50962264046791,1.4297941361851234,5.913471245133637
10,16,1.6981246920615545,8.37533581499154,-4.019834759544736
8,19,6.447770612371215,7.9698525203658255,5.725964105361957
2,20,1.324974761199734,3.1464472331942943,0.8447657937823685
10,14,3.2587744733629496,6.236648128050096,-7.339827456955077
2,6,6.960006737124712,7.220457995566284,-0.948518801340164
8,12,9.164901079201654,1.2702379094714775,-3.723461215801793
5,18,4.004752210241451,2.684555066235428,-3.172621933181849
16,18,2.441535183024043,4.249952648749917,-5.612263681802183
1,13,4.198888065959363,8.555619864069358,9.90944736204548
8,10,8.028419071461782,9.249769232573222,-4.856454255514516
11,17,4.161826494623123,8.802457675790118,9.119176899352873
1,8,4.647465043617525,4.125889220044726,-3.0471168073938726
2,11,9.511761827517402,4.141191688278321,-5.975156188705199
7,9,7.754085043432145,6.382047230295198,-3.565232852477866
1,6,6.733409121249387,9.091108127896806,-3.555195154775628
2,16,5.308458061065471,2.4187123763558507,2.437067506544608
7,17,9.523980435500087,1.8585473848752236,-2.36389544486332
10,12,6.8005151387165945,9.366645050191382,0.1531423126221458
6,12,2.7876086499315664,8.944364191645624,-6.355542654501722
10,11,8.22116755681331,6.347133049390041,-7.0487723202897845
1,12,2.5473042350202824,2.9863989662104755,6.755070675019812
9,11,2.1330258351135587,3.931981112023624,1.414442673691109
9,12,2.575431502897303,4.763797162889514,-7.707075209556528
10,13,4.132972405676205,2.834077986050317,-6.648869595811993
1,2,5.603229730603943,1.415071329366719,9.835513908286288
14,16,4.787639807377632,6.9699170369393135,7.061584789860721
10,20,4.368724005310288,4.534501218977415,1.9735704341772848
5,6,5.558915234154363,3.899920483010012,-7.506304589354955
