nodo_id,x,y,electrolinera
86,35.31,69.72,0
87,43.68,72.74,0
88,35.32,79.35,0
89,39.86,77.01,0
90,39.69,79.55,0
91,37.28,68.02,0
92,35.38,73.99,0
93,38.5,72.88,0
94,40.77,76.96,0
95,36.63,76.42,0
96,42.89,78.06,0
97,34.92,70.41,0
98,40.86,72.06,0
99,35.81,72.52,0
100,35.42,71.77,0
101,42.33,70.35,0
102,43.63,71.9,0
103,41.69,72.16,0
104,40.21,79.99,0
105,34.15,78.0,0
106,43.93,76.7,0
107,34.44,77.32,0
108,39.82,76.33,0
109,41.98,78.29,0
110,37.74,69.33,0
111,41.41,70.65,0
112,37.36,75.88,0
113,41.32,77.88,0
114,36.84,74.7,0
115,39.32,74.84,0
116,36.87,77.46,0
117,36.78,77.14,0
118,39.38,79.94,0
119,43.85,71.39,0
120,40.42,69.32,0
121,43.33,73.41,0
122,34.57,72.76,0
123,37.57,70.64,0
124,39.54,72.87,0
125,37.09,70.41,0
126,42.52,73.02,0
127,34.09,77.87,0
128,42.89,77.17,0
129,37.89,68.33,0
130,43.92,69.7,0
131,37.85,76.65,0
132,34.17,75.8,0
133,40.44,76.68,0
134,34.46,70.93,0
135,39.3,76.04,0
136,34.9,68.02,0
137,40.96,73.86,0
138,42.8,71.97,0
139,40.0,76.7,0
140,43.59,75.12,0
141,34.37,77.36,0
142,37.25,77.5,0
143,39.2,68.88,0
144,40.98,76.27,0
145,35.53,76.01,0
146,35.25,76.87,0
147,43.06,72.05,0
148,34.86,72.13,0
149,41.47,75.82,0
150,42.75,74.53,0
151,37.85,75.63,0
152,37.02,71.87,0
153,38.38,69.39,0
154,43.41,70.23,0
155,35.61,69.64,0
156,36.33,72.85,0
157,38.12,78.08,0
158,39.42,76.8,0
159,39.45,73.68,0
160,34.77,77.85,0
161,37.81,71.83,0
162,35.64,78.98,0
163,42.62,78.73,0
164,39.55,69.36,0
165,42.65,71.58,0
166,43.48,75.08,0
167,40.55,72.13,0
168,41.04,74.51,0
169,43.14,72.71,0
170,35.63,73.74,0
171,39.71,69.84,0
172,40.16,77.05,0
173,38.7,75.2,0
174,38.36,73.89,0
175,34.63,78.42,0
176,42.21,71.25,0
177,38.17,69.24,0
178,41.09,78.71,0
179,41.69,72.73,0
180,34.35,75.18,0
181,34.04,76.55,0
182,34.93,74.96,0
183,41.38,76.8,0
184,40.18,76.57,0
185,35.28,73.95,0
186,37.45,75.42,0
187,43.53,74.1,0
188,36.83,77.45,0
189,39.87,74.62,0
190,34.52,70.26,0
191,38.99,72.47,0
192,41.45,78.63,0
193,35.78,77.69,0
194,40.23,76.99,0
195,39.35,68.21,0
196,36.73,68.97,0
197,35.14,71.3,0
198,34.74,73.71,0
199,36.78,70.2,0
200,39.65,72.76,1
201,36.1073328,70.50564,1
202,36.7118256,73.2869736,1
203,36.7762752,72.2546688,1
204,36.8985072,70.355628,1
205,36.9562896,75.0204456,1
206,37.1740848,68.7077184,1
207,37.2874272,69.4677792,1
208,37.4452176,69.9967104,1
209,37.5041112,70.0344912,1
210,37.5907848,73.494768,1
211,37.7074608,67.6342992,1
212,37.7730216,68.7143856,1
213,37.8108024,68.83884,1
214,37.8596952,74.7970944,1
215,37.9597032,68.1576744,1
216,38.119716,70.1467224,1
217,38.1497184,67.8565392,1
218,38.1952776,70.2767328,1
219,38.2163904,70.7545488,1
220,38.2519488,70.622316,1
221,38.3852928,71.5212768,1
222,38.4941904,71.3957112,1
223,38.519748,74.3215008,1
224,38.664204,71.7090696,1
225,38.7019848,78.0595776,1
226,38.969784,71.1812496,1
227,39.0442344,71.4634944,1
228,39.069792,70.4078544,1
229,39.0764592,78.3684912,1
230,39.1009056,70.0956072,1
231,39.108684,71.0790192,1
232,39.2631408,70.3134024,1
233,39.3398136,70.438968,1
234,39.3875952,71.7624072,1
235,39.408708,70.9201176,1
236,39.4442664,71.8457472,1
237,39.5409408,71.0434608,1
238,39.8265192,72.6680352,1
239,40.3510056,78.884088,1
240,40.8265992,74.9404392,1
241,41.469984,75.5860464,1
242,41.7633408,76.0883088,1
243,42.408948,77.0972784,1
244,42.8278704,78.500724,1
